frame_interval,time_interval,msd,msd_std
1.0,600.0,12.929279227370605,0.48458955631913336
2.0,1200.0,21.416508776177487,0.8198145907935245
3.0,1800.0,30.514035231714832,1.2617671772594479
4.0,2400.0,38.6663103111382,1.5591314234380094
5.0,3000.0,46.97265911499725,1.7415746640378342
6.0,3600.0,55.23426004884499,1.9633051241809192
7.0,4200.0,64.15653844252007,2.345406687894129
8.0,4800.0,73.34485206921075,2.7937142161899797
9.0,5400.0,83.8085692417297,3.3666250753637454
10.0,6000.0,94.03490923639507,3.9347753470096247
11.0,6600.0,105.12875782764925,4.629917945215586
12.0,7200.0,116.47923512724762,5.1622129054867525
13.0,7800.0,124.35409824884267,5.608260537190635
14.0,8400.0,130.56432773739473,5.406987184788646
15.0,9000.0,138.15976382482827,5.82103596167475
16.0,9600.0,144.60885170317627,6.490580474772388
