TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
0.0,98.0,111.0,46.30475517139827,0.005224854960214362,0.011341266239734906,6.804759743840944,2700.0,796.1143914090014,54.76629137606626,0.0,
0.0,89.0,98.0,192.0906971020824,0.0013148645545265271,0.023099464706525272,13.859678823915162,2100.0,799.1133638896426,56.623759240119284,0.0,
0.0,0.0,107.0,24.246762437708785,,0.008206833608799707,4.924100165279824,300.0,813.1138916289581,58.75853476897443,0.0,
0.0,82.0,89.0,5.711264852463954,0.0004977676857526067,0.0039830421275926335,2.38982527655558,1500.0,806.145095042315,60.040543898499564,0.0,
0.0,107.0,82.0,17.242087702532196,0.001630709437286687,0.006920598822543425,4.152359293526055,900.0,809.1040039648781,58.72705421030439,0.0,
1.0,83.0,95.0,2.4989933633219947,0.0013169470932497306,0.0026347007859432513,1.5808204715659506,1500.0,690.3361509819401,62.477032479222295,0.0,
1.0,95.0,115.0,3.411508856606374,0.003459170427438262,0.0030783783865167163,1.8470270319100297,2100.0,691.0102308039774,63.040328879235396,0.0,
1.0,1.0,119.0,0.3595205935796554,,0.000999333935928848,0.5996003615573088,300.0,693.1845528415506,60.15583219829121,0.0,
1.0,119.0,83.0,7.796421917881744,0.0009243799543490365,0.004653678926362616,2.7922073558175695,900.0,691.7991385366906,61.06755154868118,0.0,
1.0,115.0,109.0,4.622265056840903,0.0018797513793164925,0.0035832422689362486,2.149945361361749,2700.0,692.160647699538,61.800983742421266,0.0,
2.0,2.0,132.0,18.646048764237463,,0.007196845135242221,4.318107081145333,300.0,843.0734723608676,61.7148210845378,0.0,
2.0,132.0,86.0,29.01433227472405,0.00028773116627929356,0.008977492268433822,5.386495361060293,900.0,838.5528732677333,60.00130597679734,0.0,
2.0,87.0,104.0,9.447620389712268,2.2853743434679516e-05,0.005122830269628593,3.073698161777156,2100.0,831.5253198721807,54.46684320539637,0.0,
2.0,86.0,87.0,24.865014552386114,0.0008878388810276366,0.008310805308015536,4.986483184809321,1500.0,834.2644829031509,57.42283648536133,0.0,
2.0,104.0,106.0,7.048977760128876,0.004671783168639173,0.0044249851726458666,2.6549911035875198,2700.0,831.6594887667582,53.959496199772545,0.0,
3.0,93.0,117.0,0.07166948220302159,0.0028982423983199114,0.00044618594219046544,0.26771156531427925,1500.0,803.6079731600242,78.4891364440513,0.0,
3.0,148.0,118.0,4.646243450731651,0.004358944977498662,0.003592524433819194,2.1555146602915163,2700.0,803.7363457361483,78.08494450367152,0.0,
3.0,154.0,93.0,12.690278969889498,0.004721333006029709,0.005937236302890405,3.5623417817342427,900.0,805.03544339392,79.52499981225733,0.0,
3.0,117.0,148.0,1.1148267942887031,0.002705197113967744,0.0017597559760507697,1.0558535856304618,2100.0,803.1001763456061,78.31200635740767,0.0,
3.0,3.0,154.0,30.319664130394678,,0.009177215767927457,5.506329460756474,300.0,804.9337624183764,78.34249112059554,0.0,
4.0,143.0,90.0,36.460939376659155,0.00026565144813490586,0.010063815735464682,6.03828944127881,900.0,879.1445696179587,78.18933961883374,0.0,
4.0,105.0,131.0,66.37654473399641,0.004863508269620907,0.013578633617848586,8.147180170709152,2100.0,874.0696369393231,75.00199780406463,0.0,
4.0,4.0,143.0,25.17295840893498,,0.008362110048861102,5.017266029316661,300.0,884.0047050743548,80.78614497759699,0.0,
4.0,90.0,105.0,1.1557179040529832,0.0052059565137655955,0.001791738683865001,1.0750432103190006,1500.0,876.8808614739739,77.17218397056877,0.0,
4.0,131.0,113.0,1.215585643651623,0.004462441340195722,0.0018375600093387904,1.1025360056032742,2700.0,871.307651040824,72.70998802579847,0.0,
5.0,4789.0,4959.0,6.669084182902692,0.0005472690155301761,0.004304095008407269,2.582457005044361,1500.0,846.5590657984915,944.4330002192268,0.0,
5.0,4100.0,5091.0,2.4406323097111846,,0.0026037538657949564,1.5622523194769737,300.0,847.0315249582026,942.539488342499,0.0,
5.0,4821.0,4888.0,8.08806515481008,0.00030514355971378537,0.004739920637758635,2.8439523826551807,2700.0,844.8993125419182,948.2840583907484,0.0,
5.0,5091.0,4789.0,1.5879515651349112,0.0038803790362970042,0.0021002325037526672,1.2601395022516004,900.0,846.4563281286783,942.5372423680498,0.0,
5.0,4959.0,4821.0,3.1445356658725476,0.001178367598467479,0.0029554731083348412,1.7732838650009048,2100.0,846.3063872327352,946.4653461441221,0.0,
6.0,110.0,137.0,3.4315093189195984,0.0050624902844746585,0.0030873889178936005,1.8524333507361603,2100.0,774.9365895170902,79.987641054879,0.0,
6.0,5.0,164.0,1.551997877658989,,0.0020763201139803594,1.2457920683882158,300.0,774.467889686281,80.36402609881046,0.0,
6.0,137.0,116.0,7.008274091030807,0.004135711186674298,0.0044121908425000305,2.6473145055000185,2700.0,774.6665897227606,79.21288631694277,0.0,
6.0,164.0,92.0,0.09137886786130267,0.003630147119379063,0.0005038156294753255,0.3022893776851953,900.0,774.6600303473905,79.84781247855635,0.0,
6.0,92.0,110.0,1.123786602945118,0.0018558672505502964,0.0017668133610048709,1.0600880166029225,1500.0,775.2648023161669,79.75409371720392,0.0,
7.0,6.0,178.0,0.7879831441757126,,0.0014794735777143022,0.8876841466285813,300.0,746.5708099905868,87.47762290411356,0.0,
