frame_interval,time_interval,crmsd,crmsd_std
1.0,1.0,9.153830578777571,0.1816020950029663
2.0,2.0,13.07614409741712,0.32577129485272455
3.0,3.0,14.213416498063625,0.37964831553989725
4.0,4.0,15.638560118860594,0.48064344623564004
5.0,5.0,16.834601682276592,0.6082662266008819
6.0,6.0,17.81816034085675,0.7564197616429768
7.0,7.0,17.507033866934112,0.7235855375617075
8.0,8.0,18.36207925902968,0.9500390778321695
9.0,9.0,18.03420417976576,0.862170618995958
10.0,10.0,18.660757857220464,1.087220841337802
11.0,11.0,19.893434722719462,1.3801030717629958
12.0,12.0,20.004790437918018,1.6658472465422085
13.0,13.0,17.24675534649129,1.52430225687876
14.0,14.0,16.590447367586457,2.021880006343108
15.0,15.0,14.449574096915887,2.183149083973851
16.0,16.0,13.532952298923178,2.4206161975618405
17.0,17.0,9.269395281359666,1.7959622650051352
