frame_interval,time_interval,crmsd,crmsd_std
1.0,1.0,12.83276073052125,0.1821705953859024
2.0,2.0,28.702669496136096,0.3609792323195284
3.0,3.0,46.592424843370004,0.5709246003024679
4.0,4.0,65.22262376014827,0.816448958211928
5.0,5.0,84.62302813851804,1.153340612683814
6.0,6.0,104.66595707010279,1.546625078980767
7.0,7.0,122.1265028831227,1.905573950524192
8.0,8.0,139.03086660778584,2.3668798248491445
9.0,9.0,156.93990367227173,2.930352722761547
10.0,10.0,173.56142431957664,3.601922929243191
11.0,11.0,186.8628741665235,4.426030322986547
12.0,12.0,196.59472777077346,5.191886113376429
13.0,13.0,209.42463901587783,6.31342212241575
14.0,14.0,225.86513365349435,7.898369930091322
15.0,15.0,250.0190332146069,11.205947568129295
16.0,16.0,267.97130848157906,15.803240859539946
17.0,17.0,305.00932201152403,30.39581394145273
