frame_interval,time_interval,msd,msd_std
1.0,600.0,12.720651068177263,0.2692644314966487
2.0,1200.0,28.249846046025443,0.5539112667701382
3.0,1800.0,48.3978267400035,0.9177782560045101
4.0,2400.0,71.26125393450594,1.3945009202679393
5.0,3000.0,99.73274851582688,2.0746960735025457
6.0,3600.0,130.26269034936428,2.8535795297486684
7.0,4200.0,164.59699110988865,3.803472077989184
8.0,4800.0,198.95467414261054,4.832745021932916
9.0,5400.0,237.20844283443046,6.019869856605997
10.0,6000.0,274.958804272988,7.167271139421593
11.0,6600.0,315.61787751936396,8.622707298075072
12.0,7200.0,355.84460451267597,8.888732481988463
13.0,7800.0,397.5489834269958,10.315770988334963
14.0,8400.0,438.59420530178824,11.870701609028016
15.0,9000.0,484.84214478988696,13.709989470390452
16.0,9600.0,525.4075620279446,15.188343067625851
17.0,10200.0,567.8927917593851,17.123527012196075
18.0,10800.0,609.6668538228208,18.880658155420132
19.0,11400.0,651.4811899242687,21.012816004690983
20.0,12000.0,694.4646022258821,22.76923958730266
21.0,12600.0,745.5797448225441,25.08869364483006
22.0,13200.0,788.9366800207187,26.349226239565272
23.0,13800.0,850.4359834902368,29.110236583139454
24.0,14400.0,881.7703181440132,30.677866995603722
25.0,15000.0,927.2304611240913,32.685828103956716
26.0,15600.0,980.3069299141275,35.38986517990677
27.0,16200.0,1029.2777573234416,38.164672620653434
28.0,16800.0,1061.2931461577298,40.115476353734316
29.0,17400.0,1122.4252184361633,48.54466317169404
