frame_interval,time_interval,crmsd,crmsd_std
1.0,600.0,7.659669496907357,0.11515836938513718
2.0,1200.0,14.483973608249302,0.19516703589058906
3.0,1800.0,22.522509517273892,0.2929176596751005
4.0,2400.0,31.179269436062864,0.40580781013416606
5.0,3000.0,40.38322885086608,0.5356239945393152
6.0,3600.0,50.956288699206276,0.7159296142901304
7.0,4200.0,62.10920207249736,0.9119048394586693
8.0,4800.0,73.16369737922756,1.135538638710047
9.0,5400.0,84.5467529110474,1.407794320112953
10.0,6000.0,94.8479576743218,1.6428884186681272
11.0,6600.0,104.64075533829181,1.902112372097107
12.0,7200.0,115.9654546450546,2.241540307209607
13.0,7800.0,127.68436472627911,2.693926099434722
14.0,8400.0,140.79140056986745,3.2438794928484205
15.0,9000.0,151.51425188001102,3.7107680094899576
16.0,9600.0,164.2221308239276,4.395846113063828
17.0,10200.0,174.66311216881837,4.989631693783023
18.0,10800.0,187.75273819440633,5.61665042189796
19.0,11400.0,202.95841848643303,6.633471683903171
20.0,12000.0,214.9147109862824,7.396743800646302
21.0,12600.0,223.07869602014546,8.145957485083667
22.0,13200.0,231.39734590856335,8.962672725278965
23.0,13800.0,238.32624200587733,10.134731701951534
24.0,14400.0,251.06557888234738,12.351315543784008
25.0,15000.0,260.21614798515924,15.430904129036154
26.0,15600.0,263.6241737462509,20.114251786038054
27.0,16200.0,260.581241999022,22.81396522356349
28.0,16800.0,250.56702420577972,30.25934194902668
29.0,17400.0,233.61678863754818,62.643582045311035
