Frame,T,X,Y,Z,Radius,Visibility,Manual spot color,Ellipse center x0,Ellipse center y0,Ellipse short axis,Ellipse long axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index,Quality,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Spot ID,TRACK_ID,Velocity_X,Velocity_Y
0.0,0.0,1021.4967207738973,360.644121987211,0.0,17.987829199373206,1.0,,-0.40361399112608315,0.4851847263503746,15.373647825763811,21.869238557402912,2.8756932800977717,1.422514604552962,1016.5000000000001,125.85960406746639,0.8063888694578843,0.9625946969696971,3.947595722489053,1016.0,9400.51330049261,9055.0,3536.0,22510.0,9541521.0,2941.6877941875186,-0.13005918144493,-0.9555123239844249,2050.0,214.0,-0.004249802822395926,-0.0009271217575575482
0.0,0.0,1073.8047756179506,835.7047036237101,0.0,14.868295664084792,1.0,,0.5471207385999243,0.1256236803395105,10.961135556457778,20.926902628416922,0.626285704634551,1.9091911162514352,694.5,110.8764954283845,0.7099097377580188,0.9126149802890933,4.207298885781574,693.0,10177.792805755396,9328.0,4871.0,27217.0,7073566.0,3631.820103265606,-0.007401351705866402,-0.04179233489821625,6146.0,1470.0,0.006350313142831965,0.0029450195079283505
0.0,0.0,623.5347593582887,1074.5032679738563,0.0,13.363077719938119,1.0,,0.40042946755204567,0.5307481688464541,8.820504645898561,20.60433146163466,0.635004856926882,2.335958348053867,561.0,105.43555837520367,0.6341595259932385,0.9092382495948136,4.451492763682495,559.0,9999.105169340464,9835.0,4124.0,18712.0,5609498.0,2623.1459332515105,0.05291410671091348,0.3831309214402544,8195.0,1224.0,0.006885105710868894,0.0030726124486360126
0.0,0.0,528.625054466231,59.616775599128545,0.0,15.6047128435803,1.0,,-1.1232441238739832,1.6767309472147292,14.795548895758156,19.51139311478851,-0.7002371417203466,1.318733982243969,765.0000000000003,111.10261183358203,0.7787942959613122,0.9479553903345727,4.016923408317899,769.0,9154.447643979058,9085.0,3521.0,16421.0,6993998.0,2434.459083930405,0.009158981663830638,0.06825701012242177,5.0,16.0,-0.0032500812575938197,0.0017896097793825188
0.0,0.0,881.1126302083334,362.7044270833333,0.0,15.635280380893438,1.0,,-0.14886921969071332,-0.21646731269321062,14.62392267782783,17.530361224237108,-0.74336290342621,1.19874548097932,768.0,105.23882058920718,0.871403177943433,0.9715370018975333,3.7974788372735935,769.0,9041.21409921671,7949.0,3311.0,29168.0,6925570.0,4484.918366201019,-0.0420007647419381,-0.17676417165681438,2053.0,206.0,0.008056812682047507,-0.006701538745026975
0.0,0.0,402.8614906832298,55.70248447204969,0.0,11.3189985947952,1.0,,-0.09139024553738667,-0.12630849941251415,9.189785339686198,14.556271416927911,0.8650610520635011,1.5839620708077347,402.4999999999999,76.18562496338525,0.8714243271116596,0.9793187347931871,3.797432755242389,400.0,8374.885572139303,8452.0,5076.0,11527.0,3366704.0,1461.2415848918524,-0.00022870003060425435,-0.0026221190858529723,6.0,1503.0,-0.0005137180196468686,-0.0004989372360913909
0.0,0.0,1158.8661800486618,834.4470802919708,0.0,13.207339536360731,1.0,,0.45364276699804695,0.9776037074117738,11.398740919314788,17.050502490353807,1.1855516028342854,1.4958233204039488,548.0,96.74944767067412,0.7356875960808201,0.8903330625507717,4.132931574865373,549.0,8900.352833638026,8675.0,4345.0,16352.0,4868493.0,2275.4660798998802,-0.019999236019453966,-0.15964445727457482,6150.0,14.0,0.005215876336861053,0.0008875374987102684
0.0,0.0,469.66769041769044,71.3140868140868,0.0,22.764193258431344,1.0,,0.4544366772978528,-0.1038671234211742,21.294174334831098,28.210844545531433,-0.8202304717878115,1.3248151396688186,1627.9999999999998,175.2544252906008,0.6660798236702096,0.911024062674874,4.343519671314674,1625.0,9527.247695144437,8974.0,4389.0,21307.0,15500832.0,2721.1158181760584,0.035895035189573,0.2426437207780383,9.0,12.0,0.0027824228673253514,-0.0028975720233285784
0.0,0.0,292.04044444444446,371.88275555555555,0.0,17.274707473566774,1.0,,-0.03669314532141502,-0.9814523047323248,16.09223534204675,20.35844771638258,1.889125360992606,1.2651099914745108,937.5000000000001,124.61549465527641,0.758642290807352,0.9417378201908588,4.06992501266602,936.0,8468.327623126339,8288.0,3350.0,15256.0,7909418.0,2158.3958956069455,-0.008957503288341263,-0.07092367635893317,2057.0,221.0,0.0010167297844467763,-0.004349608669762972
0.0,0.0,744.4950980392157,1075.290931372549,0.0,14.712264360219255,1.0,,0.0366000566983216,0.2994292442408927,12.1452599973654,18.485053290462876,-1.064950638129895,1.521997330190768,680.0,108.59176887081252,0.7246444357029661,0.9315068493150684,4.164304240045947,680.0,8943.126656848306,8530.0,4124.0,19900.0,6072383.0,2556.34802459924,-0.022581050446729253,-0.16164518946422404,8202.0,1194.0,-0.002531729746161962,-0.0008363828089375147
0.0,0.0,464.3025276461296,367.35872263597383,0.0,15.332053057132612,1.0,,-0.3477786030471093,-0.49923227132423725,13.658094033538177,20.184699813973516,0.5485177109413312,1.4778562634295027,738.5000000000002,109.6574982245923,0.7717625433287716,0.9659908436886856,4.035181591511658,739.0,9038.103633916555,8496.0,3744.0,20973.0,6715311.0,3077.966164575205,-0.012672247980623353,-0.07537646907499483,2059.0,222.0,-0.0011861285511094858,-0.0003519518159701344
