TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
0.0,0.0,18.0,1.0,0.0,0.0,0.0,1.0,10800.0,600.0,11400.0,13.95621783125371,607.0323220800952,47.555975856926736,0.0,0.004090948263921099,0.007183898727875956,0.0004941519887330325,0.004206865435735745,0.002052955398303377,788.5555555555555,44.84667640042967,13.95621783125371,0.3111984867427098,0.001292242391782751,0.3158784488132735,1.27090667529
1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,6000.0,15.156247914269745,885.1555435620695,750.4336686488983,0.0,0.0031950366092665175,0.00485077351237354,0.0014092123234218528,0.0031243771219430444,0.001118966022155403,978.5454545454545,19.170219655599105,15.156247914269745,0.7906142019527154,0.0025260413190449573,0.7906142019527154,0.8548530554526951
2.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,7200.0,0.0,7200.0,18.55184888635081,185.57222918002984,1014.2653805058856,0.0,0.007014279217479733,0.015758769098124556,0.0014106323929148532,0.005514436168601501,0.005024182656631769,1108.4615384615386,50.50281036585408,28.05825043936018,0.36734290135453673,0.002576645678659835,0.3673429013545368,1.0248018573189166
3.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,10200.0,0.0,10200.0,32.758220817456866,916.7010099617645,991.0340931451506,0.0,0.004815451430933047,0.009579198246095103,0.0006544653871872739,0.004642242233864425,0.0021781065587879993,779.8888888888889,49.11760459551708,32.758220817456866,0.6669344135818602,0.0032115902762212614,0.6669344135818602,1.1297198572866836
4.0,4.0,30.0,0.0,0.0,0.0,0.0,0.0,17400.0,0.0,17400.0,23.81817698949743,352.7539167526324,574.6567041409096,0.0,0.0036528066161981565,0.008620110485754855,0.0009963693810847813,0.0036025130805571646,0.001964956638473615,810.4,63.55883512184792,25.023121807838915,0.37474218877416293,0.001368860746522841,0.37474218877416293,1.2935984435509693
5.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,8400.0,0.0,8400.0,36.71136290906409,99.35468893633207,646.8109335887743,0.0,0.004735469930506539,0.008387151834069313,0.001116304004483843,0.004853935052897365,0.0024450521442218333,940.0,39.77794741625493,37.78384707180999,0.922907422167849,0.004370400346317154,0.9229074221678492,0.630048810749628
6.0,6.0,24.0,1.0,0.0,0.0,0.0,1.0,14400.0,3000.0,17400.0,29.586570777914208,649.5570143960651,223.52159616564222,0.0,0.002953580075655318,0.008234639208380603,0.00040599265271651147,0.002985602379976742,0.0017302786344715634,676.5,45.70018856907174,29.586570777914208,0.6474058795883688,0.0020546229706884865,0.695638146947014,1.0092401383775422
7.0,7.0,30.0,0.0,0.0,0.0,0.0,0.0,17400.0,0.0,17400.0,38.24188615573918,217.34318488789037,982.8687341650894,0.0,0.004196103964489623,0.013128211810823406,0.0008978850607038078,0.003541953233144373,0.0028136049839235238,481.6333333333333,73.01220898211943,40.34018125367977,0.5237738549330093,0.0021978095491804127,0.5237738549330093,0.8324759063040753
8.0,8.0,30.0,0.0,0.0,0.0,0.0,0.0,17400.0,0.0,17400.0,18.19205806759955,1065.2876647031037,1000.5262514756303,0.0,0.002405527177244376,0.005948428351192676,0.00013627524244170893,0.002184066722772634,0.0014988645638226283,703.6666666666666,41.85617288405215,22.03519350692303,0.43463261961370114,0.0010455205785976753,0.4346326196137012,1.2719448193031335
9.0,9.0,30.0,0.0,0.0,0.0,0.0,0.0,17400.0,0.0,17400.0,14.969100801779966,852.0655235714573,763.4918800621538,0.0,0.002577109891336464,0.007429670679984187,0.00041535948995784845,0.002241259165459107,0.0014208323440615255,880.4,44.841712109254466,14.969100801779966,0.3338209024068604,0.0008602931495275844,0.3338209024068604,1.1375065343121
10.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,17400.0,0.0,17400.0,30.249363240175803,716.4495839704848,471.56030412313805,0.0,0.003361380901124482,0.008741003274072245,0.0006122973774195878,0.003116041269885793,0.0019789189087414884,904.8666666666667,58.488027679566,32.75501565899953,0.5171889776468568,0.0017384691517342418,0.517188977646857,0.7551046011275825
11.0,11.0,29.0,1.0,0.0,0.0,0.0,1.0,17400.0,0.0,17400.0,53.58954814180903,999.6358999871336,311.4684291658624,0.0,0.004989405484505147,0.010976941619522328,0.00023198994002530607,0.004918440566457513,0.003087154978499503,870.2413793103449,87.66624383638005,53.58954814180903,0.6112905697411694,0.0030798590886097145,0.6172797737474683,1.048534264874778
12.0,12.0,24.0,1.0,0.0,0.0,0.0,1.0,14400.0,3000.0,17400.0,19.797624173114645,632.1712925319833,50.0072820384216,0.0,0.004830589207241544,0.01717053633250383,9.66767436750975e-05,0.004219964286635593,0.0040835699057073195,864.125,69.51096378771044,28.134437279682018,0.2848129718583311,0.0013748350120218503,0.28461021068834275,0.8918234969142926
13.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,17400.0,0.0,17400.0,70.41424141205837,520.2136963720606,614.5679965305719,0.0,0.00456592910854256,0.00946849560469734,0.0018650043399642232,0.0043178060385306105,0.001987554346459656,604.3333333333334,79.44716648864055,70.41424141205837,0.8863027408551605,0.004046795483451631,0.8863027408551606,0.27604371477788797
14.0,14.0,22.0,1.0,0.0,0.0,0.0,1.0,13200.0,0.0,13200.0,31.5566166211318,267.441732042745,995.8925422477437,0.0,0.005124584266226633,0.014937508427627578,0.0005731987553629637,0.004500428865533092,0.0033411150052680937,591.1818181818181,67.26457649657488,34.08855037385765,0.4691416829590634,0.0023906527743281667,0.4665066764700636,0.6555631313569563
15.0,15.0,30.0,0.0,0.0,0.0,0.0,0.0,17400.0,0.0,17400.0,44.54540607554575,955.4078382737384,558.7115867296241,0.0,0.004994924987882572,0.01678207120483905,0.0005810415062867741,0.00444934201943393,0.003361700352544243,1031.9333333333334,86.91169478915675,44.54540607554575,0.5125363874632819,0.002560080808939411,0.512536387463282,0.9752670163754974
16.0,16.0,30.0,0.0,0.0,0.0,0.0,0.0,17400.0,0.0,17400.0,18.134342840358354,956.8705029709464,755.849526411016,0.0,0.0029442177416413484,0.0069279789043953524,0.0001696395346785491,0.002079395322329743,0.00192413074240204,871.0333333333333,51.22938870455945,18.134342840358354,0.35398319790500227,0.0010422036115148479,0.35398319790500216,0.945120523701514
17.0,17.0,30.0,0.0,0.0,0.0,0.0,0.0,17400.0,0.0,17400.0,16.753856644043214,981.2466721699982,989.1812520299644,0.0,0.004088444687791479,0.016442277377072725,0.0010461096033309632,0.003192914063288471,0.003172656968183542,869.3333333333334,71.13893756757174,24.43050997518413,0.2355089521561868,0.0009628653243702996,0.23550895215618683,0.8694333838538431
18.0,18.0,25.0,0.0,0.0,0.0,0.0,0.0,14400.0,0.0,14400.0,7.224058060827665,798.4615173088282,52.26397430226451,0.0,0.0036784903817420117,0.015312846743674054,0.00037926908157855116,0.0028006874872456657,0.003274924422345752,597.68,52.970261497084955,13.480761979116942,0.1363795053423555,0.0005016706986685879,0.13637950534235546,1.3011216949883517
19.0,19.0,30.0,0.0,0.0,0.0,0.0,0.0,17400.0,0.0,17400.0,43.79225351832382,1145.5256835496905,377.4407432275517,0.0,0.007304198267242792,0.018609383075506164,0.0023897196567890843,0.0063837253434090545,0.004139825164988234,824.4666666666667,127.09304985002456,51.458539361113736,0.34456843682640886,0.0025167961792140125,0.3445684368264088,1.0191559472989484
20.0,20.0,30.0,0.0,0.0,0.0,0.0,0.0,17400.0,0.0,17400.0,11.124121072190452,285.84180188019644,577.5615346101984,0.0,0.004724897774033382,0.015454573583890543,0.0006314893768616076,0.004133809212887476,0.003651008414857537,796.4,82.21322126818085,29.4948683043112,0.1353081767213985,0.0006393173029994513,0.1353081767213985,1.2952801053541338
21.0,21.0,30.0,0.0,0.0,0.0,0.0,0.0,17400.0,0.0,17400.0,56.88501069706505,547.4734875803282,624.1785469859336,0.0,0.0039631275690191455,0.00863937566372125,0.0008860214185881355,0.0035523892944158758,0.001862312195021546,575.1666666666666,68.95841970093313,57.44895332896053,0.8249175509498413,0.0032692534883370715,0.8249175509498413,0.45681361271487964
22.0,22.0,30.0,0.0,0.0,0.0,0.0,0.0,17400.0,0.0,17400.0,65.81136402041247,1238.4212489081074,774.2529699943474,0.0,0.006736338834321455,0.022160918353628548,0.0005354432628081097,0.005853574145882258,0.005465083080291946,759.0666666666667,117.21229571719334,76.32618573931113,0.5614715044844812,0.003782262300023705,0.5614715044844814,0.896078017000092
23.0,23.0,26.0,1.0,0.0,0.0,0.0,1.0,15600.0,1800.0,17400.0,11.42736822935756,752.0543416023828,754.390413868668,0.0,0.003504202622674313,0.013937267301895458,0.0005821269066997528,0.0025659155283228184,0.003420419607731127,475.0769230769231,53.91371539426181,14.993232967110439,0.21195660780918482,0.0007325236044459974,0.20904145202852317,0.8889890848449754
24.0,24.0,30.0,0.0,0.0,0.0,0.0,0.0,17400.0,0.0,17400.0,43.710371996285765,1137.8753318600081,1017.0815603816721,0.0,0.003224874702983303,0.007910398827815777,0.00028224147190060195,0.003175889549905377,0.0019211102139008126,1325.9,56.112819831909476,46.214945048947136,0.7789730070102295,0.0025120903446141244,0.7789730070102295,0.6288392226826105
25.0,25.0,8.0,0.0,0.0,0.0,0.0,0.0,4200.0,2400.0,6600.0,13.239932872326788,777.0305224132861,471.77190280462594,0.0,0.006619916016623973,0.009170647196533502,0.0035956991178749263,0.007240183720129601,0.002245850245151061,1072.5,27.803647269820686,15.576470743084716,0.47619410301964227,0.003152364969601616,0.47619410301964227,1.3122743664874272
26.0,26.0,29.0,1.0,0.0,0.0,0.0,1.0,17400.0,0.0,17400.0,37.455604319364106,176.94839875094016,982.5849421876566,0.0,0.004042715139472648,0.011592340496653959,0.0009749860895038572,0.0038945696582402775,0.0024457048762576996,522.8965517241379,69.67778005490615,37.455604319364106,0.5375545014472197,0.002152620937894489,0.5324691113842088,1.1482708371191122
27.0,27.0,30.0,0.0,0.0,0.0,0.0,0.0,17400.0,0.0,17400.0,4.375220448795288,608.243336079887,389.44321244919405,0.0,0.0037153794628591503,0.008065135775095978,0.0005139878599348221,0.003230958210254622,0.002070401400120627,602.6333333333333,64.6476026537492,14.713568504421726,0.0676779999442338,0.000251449451080189,0.06767799994423379,0.8782942167751485
28.0,28.0,29.0,1.0,0.0,0.0,0.0,1.0,17400.0,0.0,17400.0,6.623828351745367,536.9492526778951,995.7295863533411,0.0,0.006101824270774551,0.015791578819993265,0.0006930382109766197,0.0034348893850398225,0.005347550644675148,657.9655172413793,104.32344677582893,17.263267622474388,0.06349318927296088,0.00038067979033019347,0.06238786524113892,1.4728797190854765
29.0,29.0,29.0,1.0,0.0,0.0,0.0,1.0,17400.0,0.0,17400.0,12.953471744286206,572.5377424996611,56.5363455745125,0.0,0.005248851275971407,0.015058936487989257,0.00048494199181406156,0.0053500836239610385,0.004041026537285434,1278.103448275862,91.81358881516319,29.292122211074116,0.1410844724778574,0.0007444523990969083,0.14183149035007328,0.9440093293785038
30.0,30.0,11.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,6000.0,9.333321294600047,741.4586186636799,543.7090566224216,0.0,0.0034080992224841513,0.01137202110412532,0.00030601806366863235,0.0029604539279774267,0.0030896928448530345,775.2727272727273,20.44859533490491,12.470210363291061,0.45642848037920986,0.001555553549100008,0.4564284803792099,1.375655723826418
31.0,31.0,24.0,0.0,0.0,0.0,0.0,0.0,13800.0,3600.0,17400.0,44.06400225502767,1258.6547415283287,781.1002187579849,0.0,0.0040254524929272395,0.009885100179712784,0.001175502693119325,0.0034265189303401746,0.0020609364861722858,837.7083333333334,55.55124440239591,44.45385032242797,0.7932135945657988,0.0031930436416686713,0.7932135945657988,0.6019214989175267
32.0,32.0,30.0,0.0,0.0,0.0,0.0,0.0,17400.0,0.0,17400.0,84.57432642034532,433.7544359368418,620.4956398277737,0.0,0.00538362782564786,0.009174127478321343,0.001149534570696842,0.00522923355569952,0.0015584529079785722,689.4,93.6751241662728,84.57432642034532,0.9028472305008786,0.004860593472433639,0.9028472305008788,0.4566582200586761
33.0,33.0,11.0,1.0,0.0,0.0,0.0,1.0,6600.0,0.0,6600.0,17.69318684476525,684.6412677380383,996.7123600282562,0.0,0.003885441212663941,0.007160696005860912,0.0009488168762297349,0.004627983483121639,0.0018641685582473126,777.3636363636364,27.609064879500192,17.69318684476525,0.6408470160792187,0.0026807858855704926,0.6899566198126799,1.2084780720658288
34.0,34.0,9.0,0.0,0.0,0.0,0.0,0.0,4800.0,2400.0,7200.0,8.125469277530375,1179.7055232714224,992.8108254203825,0.0,0.004107254621110427,0.006006857567893807,0.0014106190859564478,0.004086488552001657,0.001374381794086331,491.6666666666667,19.71482218133005,9.778019260959411,0.41215026961923096,0.0016928060994854948,0.41215026961923096,1.0514108754068234
35.0,35.0,11.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,6000.0,24.07729384336884,645.4491250305284,56.24446054274469,0.0,0.005025797794678293,0.01822251543890595,0.0004484889185920066,0.003869252708834549,0.005140631455551776,802.9090909090909,30.154786768069755,24.07729384336884,0.7984567766489319,0.00401288230722814,0.7984567766489319,0.8263353340272795
36.0,36.0,22.0,0.0,0.0,0.0,0.0,0.0,12600.0,0.0,12600.0,17.38727672113498,850.433379854147,466.006138526014,0.0,0.003601485255119914,0.008978368393990755,0.0007990963087287424,0.002892669984295906,0.0023621928718798296,644.5,45.37871421451091,17.38727672113498,0.383159307664451,0.0013799425969154748,0.38315930766445094,1.1272946173551275
37.0,37.0,13.0,0.0,0.0,0.0,0.0,0.0,7200.0,0.0,7200.0,18.43878052078785,515.5716818346326,1000.4376578723036,0.0,0.006439627991419983,0.016576750046166513,0.0013016099885817093,0.005262642814358281,0.00513518164390406,783.7692307692307,46.36532153822388,18.43878052078785,0.3976847330949015,0.002560941738998313,0.3976847330949015,1.4450975359821132
38.0,38.0,22.0,0.0,0.0,0.0,0.0,0.0,12600.0,0.0,12600.0,38.716644322344436,517.8282893954051,69.64193923209783,0.0,0.004188009243013866,0.01110135521429603,0.00026878916852062347,0.003269948146984256,0.003234098882443536,1338.2727272727273,52.76891646197471,42.20714443200853,0.7337017115036587,0.0030727495493924153,0.7337017115036585,0.7787737869687306
39.0,39.0,29.0,1.0,0.0,0.0,0.0,1.0,17400.0,0.0,17400.0,16.763138408823956,485.60736912225013,533.4651337867102,0.0,0.004676157572070736,0.015543748211466663,0.0008787147617744402,0.004413611662899641,0.0031286569068134833,666.448275862069,81.20761420852814,23.304688340934966,0.20642323472007074,0.0009633987591278135,0.20602358758864348,0.9520599433229661
40.0,40.0,30.0,0.0,0.0,0.0,0.0,0.0,17400.0,0.0,17400.0,13.412845434667407,717.1234716976273,752.6671583802005,0.0,0.0039012811398145765,0.01056201938657713,0.0007159510156529172,0.0028124706458733653,0.002672430270785033,544.0666666666667,67.88229183277362,24.506797828847905,0.19758975533279913,0.0007708531859004256,0.19758975533279907,0.7956617283056493
41.0,41.0,28.0,0.0,0.0,0.0,0.0,0.0,16200.0,1200.0,17400.0,25.901319859022202,729.9992377184789,401.0828812045458,0.0,0.004477039862091235,0.01387530889285851,0.0008611391405839604,0.0032679123847404023,0.0034984154585301114,661.1071428571429,72.52804576587799,33.70183571540743,0.3571214360667071,0.0015988469048779138,0.35712143606670704,1.0393219275315682
