frame_interval,time_interval,msd,msd_std
1.0,600.0,13.337112763878949,0.3139570179572736
2.0,1200.0,30.0184349131265,0.6341585850124393
3.0,1800.0,51.22844576606602,1.0612534698882747
4.0,2400.0,77.86215502250897,1.6325429419772224
5.0,3000.0,107.49360176412132,2.3603810023991185
6.0,3600.0,140.72723217347024,3.0919524902033326
7.0,4200.0,176.9451957028507,3.973058729965429
8.0,4800.0,216.58642874530943,5.112169149288237
9.0,5400.0,260.7844184777497,6.465137687828895
10.0,6000.0,303.7785656131588,7.713646943200435
11.0,6600.0,353.5826664952997,9.37446507826114
12.0,7200.0,402.84188817786924,11.26147003091824
13.0,7800.0,455.03877586985226,13.374876390461658
14.0,8400.0,510.06091413495113,15.726527102487346
15.0,9000.0,565.2337091102391,18.08704612389981
16.0,9600.0,625.4147787758153,20.97098027721469
17.0,10200.0,682.1804286221924,23.79472173707692
18.0,10800.0,737.6456918211989,26.584116652767253
19.0,11400.0,781.5138727623274,28.282407135580392
20.0,12000.0,844.4709522455728,31.222980260022744
21.0,12600.0,909.7781746892972,34.594897317078996
22.0,13200.0,969.7461353683018,38.39998076193797
23.0,13800.0,1029.8578920871869,41.964104271009624
24.0,14400.0,1092.7401616900681,46.05895392894228
25.0,15000.0,1143.5987763792975,48.77900023505388
26.0,15600.0,1206.9644422466686,52.11032650097586
27.0,16200.0,1264.5599989681361,56.10055577551511
28.0,16800.0,1323.9473092764647,60.41696543797854
29.0,17400.0,1405.5353185355398,71.35501478402296
