frame_interval,time_interval,crmsd,crmsd_std
1.0,600.0,11.880025624111074,0.19782177500723375
2.0,1200.0,18.754310134415856,0.31453898798242264
3.0,1800.0,25.395965334241055,0.44852848806955425
4.0,2400.0,31.59307552759459,0.5892318280789673
5.0,3000.0,36.90171128478058,0.7191832015676707
6.0,3600.0,41.85364953679924,0.885392362166866
7.0,4200.0,48.84183768542258,1.152797789462415
8.0,4800.0,56.23788234930871,1.42239362556087
9.0,5400.0,64.56275520170479,1.8358352141242504
10.0,6000.0,72.72121274687069,2.3053508457386997
11.0,6600.0,81.73473055500668,2.990883423376784
12.0,7200.0,90.83473870896688,3.7256893972955276
13.0,7800.0,98.72434267009224,4.229156943658244
14.0,8400.0,104.18803808029938,4.441718729535479
15.0,9000.0,112.6376379827318,4.662739302474045
16.0,9600.0,120.82840970808681,5.561448263038862
17.0,10200.0,129.02957840094922,6.589445798155004
18.0,10800.0,133.20457236853753,7.838833430644171
19.0,11400.0,136.43214244965773,9.2429093158884
20.0,12000.0,142.46847111731117,11.8282794334536
21.0,12600.0,141.78467061141674,16.48076758491705
22.0,13200.0,182.69833588914332,35.18061564179842
