TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,9600.0,3600.0,13200.0,9.374528877987375,426.45213731589246,1047.7306903224292,0.0,0.002723111320425204,0.008931719678285498,0.00071158922771773,0.0023524480951842377,0.0019465198458720571,820.7647058823529,26.141868676081955,9.374528877987375,0.3586020951350137,0.0009765134247903516,0.3586020951350136,0.9891640706495849
1.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,9600.0,3600.0,13200.0,23.374924221941637,863.5115919005032,383.9629349347529,0.0,0.003259182697519351,0.005591714069997619,0.0014214694687175742,0.003717896485516916,0.0013206242739272325,1518.0,31.288153896185772,23.374924221941637,0.7470854400518399,0.002434887939785587,0.74708544005184,0.7670827601257889
2.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,13200.0,0.0,13200.0,41.13183467386139,201.11750791423074,654.4115551140305,0.0,0.004967099344567216,0.012028691460760178,0.0008053884398460889,0.003248473509494186,0.0034682546604417083,762.0,65.56571134828725,41.81164856400863,0.6273375797811102,0.0031160480813531358,0.6273375797811102,0.971394292840326
3.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,11400.0,1800.0,13200.0,28.412347206786063,203.3103237579865,1207.2369997360454,0.0,0.00490801780860275,0.015898059356996053,0.0008928320383337058,0.003425469009744533,0.004636433568198158,1426.45,55.95140301807133,28.412347206786063,0.5078040169539514,0.0024923111584900055,0.5078040169539514,1.2538821011248167
4.0,4.0,22.0,1.0,0.0,0.0,0.0,1.0,13200.0,0.0,13200.0,2.2682134939720804,1265.0114610319279,655.3874396158789,0.0,0.0044449507857325255,0.020073988481162194,0.0005125986089089672,0.003231878417818599,0.005105911530174856,1360.8636363636363,57.850659488290034,16.31586371697354,0.039208083607607025,0.00017183435560394548,0.038658325791930515,1.5274700292945549
5.0,5.0,23.0,0.0,0.0,0.0,0.0,0.0,13200.0,0.0,13200.0,32.55384135391982,719.0598631968286,347.70109847723234,0.0,0.0074075054241599,0.02176718054005028,0.0006741575838183407,0.006421145483588207,0.0057821412977700935,1463.8260869565217,97.77907159891069,39.93551119537567,0.3329326083955423,0.002466200102569683,0.3329326083955423,1.5547135308260474
6.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,12600.0,600.0,13200.0,37.88114403909745,1033.2827238374066,287.0146999164015,0.0,0.005490957975132839,0.0203852187881706,0.0008320073316300039,0.0038255434336607313,0.004796572092765299,1097.090909090909,69.18607048667377,37.88114403909745,0.5475255896545519,0.0030064400031029723,0.5475255896545519,1.0567995238349628
7.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,13200.0,0.0,13200.0,12.237299726015618,548.0976812289317,213.79447721237605,0.0,0.0033460501679763266,0.009646145494327308,0.00017104263018965103,0.0029311778416739325,0.002318184889877328,1263.4782608695652,44.1678622172875,13.263471315819023,0.2770634373430436,0.0009270681610617892,0.2770634373430435,1.5552983998749987
8.0,8.0,17.0,0.0,0.0,0.0,0.0,0.0,9600.0,3600.0,13200.0,11.286453901150681,490.59922805141844,656.9312780197475,0.0,0.004943800994446352,0.01367598629831238,0.0009548854869065502,0.004919932362338107,0.0033603063503194826,963.3529411764706,47.46048954668498,11.382701818926467,0.23780736374513475,0.0011756722813698625,0.23780736374513478,1.500679990609463
9.0,9.0,17.0,0.0,0.0,0.0,0.0,0.0,9600.0,3600.0,13200.0,6.90830084679239,886.4176819668049,367.26137562593414,0.0,0.0036800682560159657,0.006927984916547439,0.0012100832815745842,0.0036627644785854007,0.0017538105093693043,1426.3529411764705,35.32865525775326,13.511473701571695,0.19554383817867754,0.000719614671540874,0.19554383817867751,0.8166469148838611
10.0,10.0,23.0,0.0,0.0,0.0,0.0,0.0,13200.0,0.0,13200.0,27.426073085112282,1289.705267682685,1054.2276580124771,0.0,0.006819253586367533,0.02314855472790904,0.0011620164591087563,0.0038286260276844666,0.0067490754804280075,1247.8260869565217,90.01414734005144,28.861640779857332,0.3046862509456795,0.0020777328094782033,0.3046862509456795,1.6671771718154802
11.0,11.0,22.0,1.0,0.0,0.0,0.0,1.0,13200.0,0.0,13200.0,12.640010640720975,936.3488566243985,666.1476586003033,0.0,0.004818012185516579,0.017537574798608558,0.0002871678708012053,0.0032555797360711344,0.004643491921238406,1226.0,65.13253560119652,19.95062848351168,0.19406599979640238,0.0009575765636909829,0.19874930299461524,1.1241777393948866
