TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,3000.0,4.564765797676978,231.89785611163225,1082.778338918103,0.0,0.003961273428652105,0.00779688725711246,0.0021444460211116696,0.0024232652910506384,0.0024607427557619753,1340.1666666666667,11.883820285956315,5.175480049952401,0.38411602395833794,0.0015215885992256595,0.38411602395833794,1.5704023550753161
1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,3000.0,7.700168986337784,331.39970665390643,493.0576306915496,0.0,0.006217765890833952,0.011951066219646287,0.0015427356821548076,0.005249576868168699,0.004174832710485219,794.3333333333334,18.653297672501857,7.700168986337784,0.4128047019637255,0.0025667229954459275,0.4128047019637255,1.768334317229992
2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,3000.0,14.88825338196907,1206.5596962787668,1070.560212243122,0.0,0.0052590931919496075,0.008323864443104718,0.002118012566943143,0.005621028051926795,0.002280680069054199,1013.3333333333334,15.777279575848828,14.88825338196907,0.943651490131376,0.004962751127323023,0.9436514901313762,0.22447741938531274
3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,3000.0,21.779499656992975,829.6232755518628,40.666194941454194,0.0,0.00786433897515557,0.02355657930001935,0.0024754278370822656,0.0037625965133411127,0.008861961770502495,1209.6666666666667,23.593016925466706,21.779499656992975,0.9231333036295079,0.007259833218997658,0.9231333036295076,0.702182096580949
4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,600.0,4.062798177453842,780.8683585479557,787.2586955594121,0.0,0.006771330295756403,0.006771330295756403,0.006771330295756403,0.006771330295756403,,2274.5,4.062798177453842,4.062798177453842,1.0,0.006771330295756403,1.0,
5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,600.0,4.381694061469043,684.0211082214414,480.9669221374178,0.0,0.007302823435781738,0.007302823435781738,0.007302823435781738,0.007302823435781738,,807.5,4.381694061469043,4.381694061469043,1.0,0.007302823435781738,1.0,
6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,3000.0,33.813222624806116,349.12566865608477,1098.667935333513,0.0,0.011636523138487781,0.018786977740546554,0.006154924453654419,0.011420601154664532,0.00495604735307587,1371.8333333333333,34.90956941546334,33.813222624806116,0.9685946630389664,0.011271074208268705,0.9685946630389661,0.20667050400090684
7.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,3000.0,5.151269723173442,782.2171439918171,480.5033376260374,0.0,0.0025404818180807553,0.004122365674885894,0.0003449322877593169,0.002708046231050979,0.0016446495215674305,819.5,7.6214454542422665,5.151269723173442,0.6758914374052406,0.0017170899077244806,0.6758914374052406,1.1211257627440996
8.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,3000.0,17.937720540862692,1033.8221692251866,774.0109840451337,0.0,0.007150198530532783,0.010897588742999176,0.004587269023720926,0.006722442034384967,0.00230319445553848,750.8333333333334,21.450595591598344,17.937720540862692,0.8362341485701424,0.005979240180287564,0.8362341485701423,0.5605130217063862
9.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,3000.0,24.68843865979936,588.311933810856,1075.0939812067006,0.0,0.014211476942335443,0.01971915631725516,0.007512608805322144,0.01658078167118074,0.005018737903857936,1159.6666666666667,42.634430827006334,24.68843865979936,0.5790727864991393,0.008229479553266453,0.5790727864991393,1.317530277241919
10.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,1200.0,2.0433195509989366,870.7412093959014,1090.9787542642744,0.0,0.005466056000595076,0.007063539392817321,0.0038685726083728302,0.007063539392817321,0.002259182678946478,1174.6666666666667,6.559267200714091,2.3211435650236982,0.3115164375033366,0.0017027662924991138,0.3115164375033366,2.9155864038793826
11.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,3000.0,11.126811452358968,872.5347633114158,43.258913277891615,0.0,0.003928676013135927,0.006214307856850366,0.001651407815767718,0.004359171910904049,0.0020696869296088654,1797.3333333333333,11.78602803940778,11.126811452358968,0.944067960398138,0.003708937150786323,0.944067960398138,0.37364165264077565
12.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,3000.0,23.7834623205878,294.8259100843533,1096.8224365740286,0.0,0.008944055002051702,0.010924556304133642,0.006613165430284361,0.009104523145036968,0.0015903428434219592,1044.8333333333333,26.8321650061551,23.7834623205878,0.886378803765259,0.007927820773529267,0.8863788037652589,0.3178101626228426
13.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,2400.0,0.0,2400.0,7.211385127189935,177.39540736686382,778.0128648107336,0.0,0.011317322588631419,0.018788673830373418,0.005437684919933696,0.010822445971247964,0.005532907092008236,1028.6,27.161574212715404,13.239624314836547,0.26549952777825375,0.0030047438029958064,0.26549952777825375,1.274289946079297
14.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,3000.0,22.976152178785675,1168.0414730850498,518.0489569464875,0.0,0.008719279060607047,0.018160115858546426,0.0034003232650510256,0.00646326165966128,0.006297233785760608,984.0,26.157837181821137,22.976152178785675,0.8783658992553623,0.007658717392928558,0.8783658992553621,0.5102638431898664
15.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,3000.0,21.26396154141839,259.83508022557805,765.3565774424651,0.0,0.0073759577642556065,0.011014799404037701,0.004444163564909224,0.0073850303406565974,0.00244042984508154,1316.1666666666667,22.127873292766818,21.26396154141839,0.9609582113961749,0.007087987180472797,0.9609582113961749,0.2364782831620363
16.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,3000.0,11.348287204969663,676.7457160792109,1086.5776702410756,0.0,0.006165905112115432,0.007618084390366478,0.005062514582747821,0.0055079826931199866,0.0012140186193707507,1674.0,18.497715336346293,11.348287204969663,0.613496693976652,0.003782762401656554,0.6134966939766519,1.4096550829180972
17.0,17.0,6.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,3000.0,10.790529054095533,772.7818809603713,42.084248115125206,0.0,0.0045301503920028305,0.0068966167449344366,0.003111491786734856,0.003953246874079231,0.0014707758910377294,1093.3333333333333,13.590451176008491,10.790529054095533,0.7939787218502562,0.003596843018031844,0.7939787218502562,0.437918760371452
18.0,18.0,6.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,3000.0,20.874226453987,308.5904299814719,766.1340300221146,0.0,0.00808740347457651,0.01427722380134096,0.0024230703558746542,0.008060659915304805,0.005366694106643304,1037.6666666666667,24.26221042372953,20.874226453987,0.8603596329199696,0.006958075484662333,0.8603596329199696,0.6772178275523415
19.0,19.0,6.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,3000.0,3.321373051871788,1198.8501214710398,509.45913315584767,0.0,0.01100958001841688,0.017939686256101015,0.004786572846126662,0.010232144467843592,0.00495109878338276,1824.5,33.028740055250644,14.5183264384316,0.10056008937415652,0.0011071243506239293,0.10056008937415653,1.3938821839145965
