frame_interval,time_interval,msd,msd_std
1.0,600.0,23.283406352163517,0.5307287958273933
2.0,1200.0,48.87373725990758,1.1670251052907716
3.0,1800.0,82.1917667934564,2.200011047268222
4.0,2400.0,121.37796091016567,3.741281390005371
5.0,3000.0,163.0451496433621,5.391592748546313
6.0,3600.0,147.0911774880859,4.149410953298362
7.0,4200.0,166.06108126042545,4.536115556859761
8.0,4800.0,186.52674921934084,5.254809303238182
9.0,5400.0,206.72800314395892,5.593482841799766
10.0,6000.0,231.255086418182,6.4199812134638625
11.0,6600.0,256.2308567115303,7.101230233795302
12.0,7200.0,278.07379261827117,7.9701432632877305
13.0,7800.0,308.7754238575761,9.180876089294719
14.0,8400.0,337.9581818100537,10.115229605302545
15.0,9000.0,369.91465036867055,10.961658605941908
16.0,9600.0,409.4426756114502,12.473349914648695
17.0,10200.0,486.37339675475926,15.931256414156307
18.0,10800.0,525.5400495032784,17.789319769113867
19.0,11400.0,574.8992713034179,20.1955269103574
20.0,12000.0,632.7704181270368,22.723510555825165
21.0,12600.0,692.0958997287942,26.230595609570475
22.0,13200.0,752.300740517267,30.090587474693685
